file,num,CDPSA,GD,IGD,HV,GS,,,,,,,,,,,,,,,
DTLZ2,6,CD,0.071059909,0.006392293,0.091386041,0.03737043,,,,,,,,,,,,,,,
DTLZ2,6,CD,0.06937886,0.005898535,0.123973157,0.042182592,,,,,,,,,,,,,,,
DTLZ2,6,CD,0.073945202,0.006562432,0.078952539,0.042083284,,,,,,,,,,,,,,,
DTLZ2,6,CD,0.06647229,0.006212522,0.093588982,0.044200135,,,,,,,,,,,,,,,
DTLZ2,6,CD,0.07288696,0.006756046,0.08038996,0.041580652,,,,,,,,,,,,,,,
DTLZ2,6,CD,0.073462002,0.007649087,0.031682228,0.041024416,,,,,,,,,,,,,,,
DTLZ2,6,PSA,0.083609797,0.005863967,0.221860763,0.028766957,,,,,,,,,,,,,,,
DTLZ2,6,PSA,0.07628313,0.004093335,0.441288902,0.028175623,,,,,,,,,,,,,,,
DTLZ2,6,PSA,0.078853939,0.003911245,0.470701044,0.024810218,,,,,,,,,,,,,,,
DTLZ2,6,PSA,0.068161794,0.003672563,0.559134117,0.028515653,,,,,,,,,,,,,,,
DTLZ2,6,PSA,0.090738138,0.005469358,0.201668156,0.027421501,,,,,,,,,,,,,,,
DTLZ2,6,PSA,0.085926983,0.00559124,0.332131001,0.029285374,,,,,,,,,,,,,,,
DTLZ2,6,PSA,0.083845834,0.004131439,0.560153665,0.028365828,,,,,,,,,,,,,,,
DTLZ2,6,PSA,0.079157379,0.005227998,0.254266906,0.028491686,,,,,,,,,,,,,,,
DTLZ2,6,PSA,0.080763725,0.004906783,0.256530852,0.031656313,,,,,,,,,,,,,,,
DTLZ2,6,PSA,0.073728202,0.005162813,0.210137441,0.025170334,,,,,,,,,,,,,,,
DTLZ2,6,PSA,0.080727585,0.003659873,0.428573548,0.023754078,,,,,,,,,,,,,,,
DTLZ2,6,PSA,0.084691446,0.005641934,0.179257216,0.028666895,,,,,,,,,,,,,,,
DTLZ2,6,PSA,0.075584984,0.003652509,0.566012719,0.023764003,,,,,,,,,,,,,,,
DTLZ2,6,PSA,0.06765909,0.004009203,0.560560989,0.023892872,,,,,,,,,,,,,,,
