file,num,CDPSA,GD,IGD,HV,GS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,4,PSA,0.026279923,0.000782111,0.391497313,0.02929777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,4,PSA,0.027082968,0.000911299,0.448741797,0.035071464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,4,PSA,0.02469555,0.000868491,0.496283135,0.028022779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,4,PSA,0.02465991,0.00074394,0.450962496,0.036952662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,4,PSA,0.023664479,0.000833625,0.548110145,0.029587942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,4,PSA,0.023869433,0.000710275,0.352609578,0.030333638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,4,PSA,0.027284008,0.000743469,0.3852995,0.037213065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,4,PSA,0.021099912,0.000679687,0.52946357,0.023774299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,4,PSA,0.030751096,0.001131137,0.163283565,0.063461205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,5,CD,0.04253536,0.001752251,0,0.09274349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,5,CD,0.042024539,0.001945237,0.004506919,0.083634864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,5,CD,0.040482421,0.001779286,0.005759418,0.122428576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,5,CD,0.040840325,0.001682931,0.075559488,0.069338368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,5,CD,0.052120554,0.001641166,0.065878414,0.054743637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,5,CD,0.041440561,0.001740647,0.001360866,0.094420136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,5,CD,0.040192932,0.001635706,0.085069777,0.087133523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,5,CD,0.044508987,0.0019047,0.11788818,0.063105126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,5,CD,0.049265794,0.001623449,0.094428497,0.093584067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,5,CD,0.036759684,0.002262176,0.001378672,0.112901661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,5,CD,0.045834572,0.002017483,0.056460833,0.072639379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,5,CD,0.039210925,0.001847527,0.058044761,0.07060371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,5,CD,0.047958339,0.002075776,0,0.080457599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,5,CD,0.043107212,0.00137693,0.12362685,0.058809969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,5,CD,0.045832903,0.001435504,0.029609362,0.082256746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,5,CD,0.051169869,0.001627898,0.00334898,0.063765759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,5,CD,0.039852647,0.001529358,0.142975895,0.057320644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,5,CD,0.038237615,0.002090592,0.035149152,0.089001333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,5,CD,0.037974899,0.001677972,0.021089003,0.074573233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,5,CD,0.045535175,0.002042519,0.010577707,0.078208636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,5,PSA,0.054633116,0.001163576,0.328756229,0.020253571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,5,PSA,0.052414828,0.000653525,0.942035582,0.007043342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,5,PSA,0.049087797,0.001078458,0.251485293,0.031474344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,5,PSA,0.054707861,0.001052651,0.444942514,0.022207204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,5,PSA,0.044593243,0.000971156,0.502565514,0.020999577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,5,PSA,0.055753854,0.001130863,0.449359524,0.018212662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,5,PSA,0.043585131,0.000814291,0.536777378,0.01791637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,5,PSA,0.047880101,0.001039541,0.308617418,0.03667718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,5,PSA,0.053869453,0.001127516,0.179419991,0.028174208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,5,PSA,0.044504415,0.001073631,0.690453343,0.001579602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,5,PSA,0.052126179,0.001207798,0.191357115,0.05645154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,5,PSA,0.061263654,0.000950572,0.429646836,0.022884291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,5,PSA,0.056510123,0.001066872,0.432354091,0.026338262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,5,PSA,0.048105934,0.001036305,0.226724531,0.049119479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,5,PSA,0.051386007,0.000870356,0.414597306,0.030539991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,5,PSA,0.053364453,0.001213835,0.260070762,0.087553545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,5,PSA,0.048564316,0.001249142,0.359827241,0.032008549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,5,PSA,0.05407555,0.000837441,0.453562754,0.032492893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,5,PSA,0.043966657,0.001165299,0.206609582,0.047419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,5,PSA,0.060309096,0.000936464,0.337128477,0.041210453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,6,CD,0.070487019,0.001995747,0.008199596,0.047901581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
